LDR1,LDR2,Voltage,Temp,Humid,timestamp
931,962,5,26.2,40,4/25/2025 15:14
931,961,5,26.2,40,4/25/2025 15:14
931,961,5,26.9,43,4/25/2025 15:14
931,961,5,26.9,43,4/25/2025 15:14
931,961,5,26.4,44,4/25/2025 15:14
931,961,5,26.4,44,4/25/2025 15:14
931,961,5,26.6,42,4/25/2025 15:15
932,961,5,26.6,42,4/25/2025 15:15
931,961,5,26.4,41,4/25/2025 15:15
932,962,5,26.4,41,4/25/2025 15:15
931,961,5,26.8,39,4/25/2025 15:15
931,961,5,26.8,39,4/25/2025 15:15
931,961,4.77,26.8,38,4/25/2025 15:15
931,961,4.75,26.8,38,4/25/2025 15:15
932,961,4.78,26.5,37,4/25/2025 15:15
931,961,4.69,26.5,37,4/25/2025 15:15
931,961,4.79,26.3,36,4/25/2025 15:15
931,961,4.77,26.3,36,4/25/2025 15:15
953,967,4.79,26.8,35,4/25/2025 15:15
963,969,4.79,26.8,35,4/25/2025 15:15
957,978,4.81,26.8,35,4/25/2025 15:15
957,978,4.81,26.8,35,4/25/2025 15:15
956,979,4.8,26,35,4/25/2025 15:15
956,979,4.82,26,35,4/25/2025 15:15
956,979,4.79,26,34,4/25/2025 15:15
928,982,4.83,26,34,4/25/2025 15:15
930,995,4.81,26.1,34,4/25/2025 15:15
929,999,4.84,26.1,34,4/25/2025 15:15
929,1002,4.82,26.8,34,4/25/2025 15:15
929,1003,4.84,26.8,34,4/25/2025 15:15
929,1002,4.81,26.7,34,4/25/2025 15:15
929,1004,4.83,26.7,34,4/25/2025 15:15
929,1003,4.84,26.6,33,4/25/2025 15:15
930,1002,4.83,26.6,33,4/25/2025 15:15
930,1001,4.85,26.1,33,4/25/2025 15:15
930,1000,4.85,26.1,33,4/25/2025 15:15
930,1000,4.86,26.5,33,4/25/2025 15:15
930,997,4.86,26.5,33,4/25/2025 15:15
928,991,4.86,26,33,4/25/2025 15:15
928,990,4.86,26,33,4/25/2025 15:15
928,993,4.89,26.5,33,4/25/2025 15:15
938,970,4.86,26.5,33,4/25/2025 15:15
933,960,4.88,26.3,33,4/25/2025 15:15
934,960,5,26.3,33,4/25/2025 15:15
934,960,5,26.7,33,4/25/2025 15:15
944,966,5,26.7,33,4/25/2025 15:15
937,975,5,26.2,33,4/25/2025 15:15
896,990,5,26.2,33,4/25/2025 15:15
836,991,4.53,26.8,33,4/25/2025 15:15
859,1006,3.31,26.8,33,4/25/2025 15:15
896,1002,3.49,26,33,4/25/2025 15:15
860,1002,3.96,26,33,4/25/2025 15:15
819,1008,4,26.5,33,4/25/2025 15:15
810,1004,4.15,26.5,33,4/25/2025 15:15
798,1004,4.42,26.4,32,4/25/2025 15:15
786,1004,4.47,26.4,32,4/25/2025 15:15
777,1003,4.46,26.8,33,4/25/2025 15:15
781,1004,4.25,26.8,33,4/25/2025 15:15
778,1006,4.3,26.7,32,4/25/2025 15:15
778,1006,4.28,26.7,32,4/25/2025 15:15
784,1003,4.4,26.9,32,4/25/2025 15:15
781,1004,4.5,26.9,32,4/25/2025 15:15
779,1004,4.52,26.4,32,4/25/2025 15:16
780,1002,4.53,26.4,32,4/25/2025 15:16
783,1001,4.45,26.2,32,4/25/2025 15:16
797,993,4.41,26.2,32,4/25/2025 15:16
793,1004,3.81,26.5,32,4/25/2025 15:16
785,1005,3.74,26.5,32,4/25/2025 15:16
790,1002,4.16,26.2,32,4/25/2025 15:16
784,1005,4.25,26.2,32,4/25/2025 15:16
787,1004,4.44,26.5,32,4/25/2025 15:16
791,1005,4.47,26.5,32,4/25/2025 15:16
887,1003,4.58,26.6,32,4/25/2025 15:16
913,1003,4.51,26.6,32,4/25/2025 15:16
941,971,3.99,26.8,32,4/25/2025 15:16
931,958,4.02,26.8,32,4/25/2025 15:16
929,958,4.29,26.2,32,4/25/2025 15:16
800,958,4.21,26.2,32,4/25/2025 15:16
920,958,4.1,26.5,32,4/25/2025 15:16
920,958,4.15,26.5,32,4/25/2025 15:16
926,958,4.02,26.2,32,4/25/2025 15:16
926,958,4.23,26.2,32,4/25/2025 15:16
926,958,3.79,26.4,32,4/25/2025 15:16
926,958,4,26.4,32,4/25/2025 15:16
926,958,3.99,26.5,32,4/25/2025 15:16
926,958,4.13,26.5,32,4/25/2025 15:16
924,953,4.48,26.2,32,4/25/2025 15:16
924,950,4.46,26.2,32,4/25/2025 15:16
925,949,4.42,26.4,32,4/25/2025 15:16
924,949,4.24,26.4,32,4/25/2025 15:16
924,946,3.91,26.9,32,4/25/2025 15:16
925,958,2.84,26.9,32,4/25/2025 15:16
925,958,3.5,26.3,32,4/25/2025 15:16
924,953,4.13,26.3,32,4/25/2025 15:16
921,949,5,26,32,4/25/2025 15:16
921,951,5,26,32,4/25/2025 15:16
922,950,5,26.3,32,4/25/2025 15:16
920,949,5,26.3,32,4/25/2025 15:16
920,949,5,26.4,32,4/25/2025 15:16
921,949,5,26.4,32,4/25/2025 15:16
918,952,5,26.4,32,4/25/2025 15:16
921,949,5,26.4,32,4/25/2025 15:16
921,949,5,26.9,32,4/25/2025 15:16
981,949,5,26.9,32,4/25/2025 15:16
978,950,5,26.4,33,4/25/2025 15:16
981,949,5,26.4,33,4/25/2025 15:16
985,949,5,26.3,33,4/25/2025 15:16
987,949,5,26.3,33,4/25/2025 15:16
961,949,5,26,33,4/25/2025 15:16
949,949,5,26,33,4/25/2025 15:16
995,949,5,26.3,33,4/25/2025 15:16
997,949,4.93,26.3,33,4/25/2025 15:16
998,949,5,26.3,33,4/25/2025 15:16
998,949,5,26.3,33,4/25/2025 15:16
999,949,5,26.7,33,4/25/2025 15:16
998,949,5,26.7,33,4/25/2025 15:16
998,949,5,26.5,33,4/25/2025 15:16
998,949,5,26.5,33,4/25/2025 15:17
998,949,5,26.7,33,4/25/2025 15:17
999,949,5,26.7,33,4/25/2025 15:17
999,949,5,26.6,33,4/25/2025 15:17
999,949,5,26.6,33,4/25/2025 15:17
999,949,5,26.1,33,4/25/2025 15:17
998,949,5,26.1,33,4/25/2025 15:17
1000,949,5,26,33,4/25/2025 15:17
999,949,5,26,33,4/25/2025 15:17
998,948,5,26.8,32,4/25/2025 15:17
999,948,5,26.8,32,4/25/2025 15:17
996,949,5,26.9,32,4/25/2025 15:17
994,948,5,26.9,32,4/25/2025 15:17
990,948,5,26.6,32,4/25/2025 15:17
983,948,5,26.6,32,4/25/2025 15:17
981,949,5,26.6,32,4/25/2025 15:17
980,948,5,26.6,32,4/25/2025 15:17
980,948,5,26.7,32,4/25/2025 15:17
980,949,5,26.7,32,4/25/2025 15:17
979,949,5,26.9,32,4/25/2025 15:17
979,949,5,26.9,32,4/25/2025 15:17
979,949,5,26.7,32,4/25/2025 15:17
978,949,5,26.7,32,4/25/2025 15:17
978,949,5,26.4,32,4/25/2025 15:17
981,949,5,26.4,32,4/25/2025 15:17
983,948,5,26.4,32,4/25/2025 15:17
982,949,5,26.4,32,4/25/2025 15:17
982,949,5,26.3,32,4/25/2025 15:17
982,955,5,26.3,32,4/25/2025 15:17
983,949,5,26.7,32,4/25/2025 15:17
986,948,5,26.7,32,4/25/2025 15:17
985,948,5,26.2,32,4/25/2025 15:17
985,948,5,26.2,32,4/25/2025 15:17
986,948,5,26,33,4/25/2025 15:17
995,948,5,26,33,4/25/2025 15:17
992,948,5,26.9,33,4/25/2025 15:17
992,948,5,26.9,33,4/25/2025 15:17
993,948,5,26.2,32,4/25/2025 15:17
993,948,5,26.2,32,4/25/2025 15:17
993,948,5,26,32,4/25/2025 15:17
993,948,5,26,32,4/25/2025 15:17
993,946,5,26.1,32,4/25/2025 15:17
992,948,5,26.1,32,4/25/2025 15:17
992,948,5,26.7,32,4/25/2025 15:17
991,947,5,26.7,32,4/25/2025 15:17
990,948,5,26.7,32,4/25/2025 15:17
987,947,5,26.7,32,4/25/2025 15:17
980,948,5,26.9,32,4/25/2025 15:17
986,953,5,26.9,32,4/25/2025 15:17
994,947,5,26,32,4/25/2025 15:17
992,947,5,26,32,4/25/2025 15:17
990,947,5,26.1,32,4/25/2025 15:17
969,951,5,26.1,32,4/25/2025 15:17
949,951,5,26.2,32,4/25/2025 15:17
921,952,5,26.2,32,4/25/2025 15:18
915,955,5,26,32,4/25/2025 15:18
914,955,5,26,32,4/25/2025 15:18
914,955,5,26.1,32,4/25/2025 15:18
914,955,5,26.1,32,4/25/2025 15:18
914,955,5,26,33,4/25/2025 15:18
914,955,5,26,33,4/25/2025 15:18
914,955,5,26.3,32,4/25/2025 15:18
914,954,5,26.3,32,4/25/2025 15:18
915,955,5,26.7,32,4/25/2025 15:18
914,954,5,26.7,32,4/25/2025 15:18
914,954,5,26.6,32,4/25/2025 15:18
914,955,5,26.6,32,4/25/2025 15:18
914,954,5,26.5,32,4/25/2025 15:18
914,954,5,26.5,32,4/25/2025 15:18
914,954,5,26.3,33,4/25/2025 15:18
914,954,5,26.3,33,4/25/2025 15:18
914,954,5,26.8,33,4/25/2025 15:18
913,954,5,26.8,33,4/25/2025 15:18
914,954,5,26.6,33,4/25/2025 15:18
914,954,5,26.6,33,4/25/2025 15:18
913,954,5,26.2,33,4/25/2025 15:18
914,954,5,26.2,33,4/25/2025 15:18
914,954,5,26.5,33,4/25/2025 15:18
913,954,5,26.5,33,4/25/2025 15:18
913,954,5,26.5,33,4/25/2025 15:18
913,954,5,26.5,33,4/25/2025 15:18
913,954,5,26.7,33,4/25/2025 15:18
913,954,5,26.7,33,4/25/2025 15:18
913,949,5,26.8,32,4/25/2025 15:18
913,954,5,26.8,32,4/25/2025 15:18
913,953,5,26.6,32,4/25/2025 15:18
913,954,5,26.6,32,4/25/2025 15:18
913,954,5,26.8,32,4/25/2025 15:18
913,954,5,26.8,32,4/25/2025 15:18
913,953,5,26.5,32,4/25/2025 15:18
913,954,5,26.5,32,4/25/2025 15:18
913,954,5,26.2,32,4/25/2025 15:18
913,954,5,26.2,32,4/25/2025 15:18
912,954,5,26.8,32,4/25/2025 15:18
913,953,5,26.8,32,4/25/2025 15:18
912,953,5,26.9,32,4/25/2025 15:18
909,954,5,26.9,32,4/25/2025 15:18
912,953,5,26.7,32,4/25/2025 15:18
912,953,5,26.7,32,4/25/2025 15:18
912,953,5,26.5,32,4/25/2025 15:18
912,953,5,26.5,32,4/25/2025 15:18
911,953,5,26,32,4/25/2025 15:18
911,953,5,26,32,4/25/2025 15:18
912,953,5,26.6,32,4/25/2025 15:18
911,952,5,26.6,32,4/25/2025 15:18
912,952,5,26.7,32,4/25/2025 15:18
911,953,5,26.7,32,4/25/2025 15:18
911,953,5,26,32,4/25/2025 15:18
911,953,5,26,32,4/25/2025 15:18
911,953,5,26.3,32,4/25/2025 15:19
914,953,5,26.3,32,4/25/2025 15:19
911,953,5,26.1,32,4/25/2025 15:19
910,949,5,26.1,32,4/25/2025 15:19
910,957,5,26.1,32,4/25/2025 15:19
911,952,5,26.1,32,4/25/2025 15:19
910,952,5,26,33,4/25/2025 15:19
910,952,5,26,33,4/25/2025 15:19
910,952,5,26.5,33,4/25/2025 15:19
910,952,5,26.5,33,4/25/2025 15:19
910,952,5,26,32,4/25/2025 15:19
910,952,5,26,32,4/25/2025 15:19
910,952,5,26.1,32,4/25/2025 15:19
910,952,5,26.1,32,4/25/2025 15:19
910,952,5,26.7,32,4/25/2025 15:19
910,952,5,26.7,32,4/25/2025 15:19
910,952,5,26.5,32,4/25/2025 15:19
910,952,5,26.5,32,4/25/2025 15:19
910,952,5,26.4,32,4/25/2025 15:19
910,952,5,26.4,32,4/25/2025 15:19
943,884,1.86,27.7,41,4/25/2025 16:13
942,883,3.66,27.7,41,4/25/2025 16:13
945,886,4.52,27,40,4/25/2025 16:13
947,889,4.25,27,40,4/25/2025 16:13
948,891,4.1,27.4,40,4/25/2025 16:13
950,892,4.09,27.4,40,4/25/2025 16:13
948,891,2.3,27.5,40,4/25/2025 16:13
949,889,3.57,27.5,40,4/25/2025 16:13
948,887,2.29,27.6,40,4/25/2025 16:13
910,875,2.54,27.6,40,4/25/2025 16:13
915,882,2.02,27.7,40,4/25/2025 16:13
929,898,4.57,27.7,40,4/25/2025 16:13
935,918,1.74,27.3,40,4/25/2025 16:13
934,899,1.67,27.3,40,4/25/2025 16:13
962,929,4.76,27.4,41,4/25/2025 16:13
990,982,2.84,27.4,41,4/25/2025 16:13
986,953,3.71,28.9,40,4/25/2025 16:13
993,993,4.9,28.9,40,4/25/2025 16:13
995,996,1.88,28.1,39,4/25/2025 16:13
996,996,4.65,28.1,39,4/25/2025 16:13
992,996,3.84,28.1,39,4/25/2025 16:13
1001,1005,4.84,28.1,39,4/25/2025 16:13
997,1003,4.82,28.6,38,4/25/2025 16:13
995,998,4.81,28.6,38,4/25/2025 16:13
1000,1000,3.36,28.6,37,4/25/2025 16:13
1001,1002,1.85,28.6,37,4/25/2025 16:13
1005,1007,2.07,28.6,37,4/25/2025 16:13
1006,1008,1.88,28.6,37,4/25/2025 16:13
1007,1008,4.95,28.6,36,4/25/2025 16:13
1007,1007,2.81,28.6,36,4/25/2025 16:13
1006,1008,1.88,28.2,36,4/25/2025 16:13
1005,1008,1.86,28.2,36,4/25/2025 16:13
1007,1008,4.95,28.7,36,4/25/2025 16:13
1010,1009,4.79,28.7,36,4/25/2025 16:13
1012,1010,1.93,28.4,36,4/25/2025 16:13
1012,1011,3.84,28.4,36,4/25/2025 16:13
1012,1011,3.64,28.3,35,4/25/2025 16:13
1011,1012,3.43,28.3,35,4/25/2025 16:14
1012,1011,4.9,29.6,35,4/25/2025 16:14
1010,1010,4.75,29.6,35,4/25/2025 16:14
1011,1011,4.93,29.2,34,4/25/2025 16:14
995,1011,4.91,29.2,34,4/25/2025 16:14
985,1011,4.85,29.9,34,4/25/2025 16:14
984,1011,4.68,29.9,34,4/25/2025 16:14
994,1012,4.65,29.8,34,4/25/2025 16:14
993,1011,4.81,29.8,34,4/25/2025 16:14
992,1012,3.99,29.9,34,4/25/2025 16:14
992,1013,4.95,29.9,34,4/25/2025 16:14
998,1012,4.79,29.5,33,4/25/2025 16:14
1001,1013,4.36,29.5,33,4/25/2025 16:14
1012,1013,4.5,29.6,33,4/25/2025 16:14
1012,1014,4.6,29.6,33,4/25/2025 16:14
1012,1014,2.87,29.3,33,4/25/2025 16:14
1013,1013,2.7,29.3,33,4/25/2025 16:14
1013,1013,1.94,29.3,33,4/25/2025 16:14
1012,1012,1.9,29.3,33,4/25/2025 16:14
1012,1012,1.88,29.2,33,4/25/2025 16:14
1012,1015,1.87,29.2,33,4/25/2025 16:14
1011,1011,2.15,29.5,33,4/25/2025 16:14
1012,1011,3.56,29.5,33,4/25/2025 16:14
1011,1011,2.84,29.2,32,4/25/2025 16:14
1011,1010,1.89,29.2,32,4/25/2025 16:14
1010,1009,1.9,29.6,32,4/25/2025 16:14
1010,1010,1.88,29.6,32,4/25/2025 16:14
1010,1009,1.86,29.5,32,4/25/2025 16:14
1010,1008,1.86,29.5,32,4/25/2025 16:14
1010,1008,4.96,29.4,32,4/25/2025 16:14
1009,1007,4.95,29.4,32,4/25/2025 16:14
1009,1007,2.55,29.2,32,4/25/2025 16:14
1008,1007,2.98,29.2,32,4/25/2025 16:14
1008,1005,4.94,29.4,32,4/25/2025 16:14
1007,1005,4.94,29.4,32,4/25/2025 16:14
1007,1003,4.93,29.6,32,4/25/2025 16:14
991,1001,3.55,29.6,32,4/25/2025 16:14
901,1000,4.76,29.6,32,4/25/2025 16:14
891,999,4.34,29.6,32,4/25/2025 16:14
887,998,4.23,29.7,32,4/25/2025 16:14
879,995,3.81,29.7,32,4/25/2025 16:14
881,995,4.67,29.7,32,4/25/2025 16:14
885,997,4.49,29.7,32,4/25/2025 16:14
888,997,4.6,29.7,32,4/25/2025 16:14
884,996,3.8,29.7,32,4/25/2025 16:14
884,996,4.29,29.6,32,4/25/2025 16:14
887,996,4.67,29.6,32,4/25/2025 16:14
887,996,4.68,29.5,32,4/25/2025 16:14
886,996,4.68,29.5,32,4/25/2025 16:14
886,996,4.42,29.3,32,4/25/2025 16:14
885,995,4.25,29.3,32,4/25/2025 16:14
881,995,4.53,29.5,32,4/25/2025 16:14
879,996,3.02,29.5,32,4/25/2025 16:14
878,997,2.3,29.2,32,4/25/2025 16:14
893,999,4.55,29.2,32,4/25/2025 16:14
902,1001,3.85,29.8,32,4/25/2025 16:15
907,1002,4.66,29.8,32,4/25/2025 16:15
909,1001,2.78,29.7,32,4/25/2025 16:15
905,1000,3.15,29.7,32,4/25/2025 16:15
900,999,4.19,29,32,4/25/2025 16:15
1000,997,5,29,32,4/25/2025 16:15
998,975,5,29.8,32,4/25/2025 16:15
998,991,5,29.8,32,4/25/2025 16:15
998,934,4.3,29.2,32,4/25/2025 16:15
998,901,5,29.2,32,4/25/2025 16:15
998,906,5,29.3,32,4/25/2025 16:15
998,906,5,29.3,32,4/25/2025 16:15
997,905,5,29.3,32,4/25/2025 16:15
997,912,5,29.3,32,4/25/2025 16:15
999,925,4.13,29.2,33,4/25/2025 16:15
1001,933,3.8,29.2,33,4/25/2025 16:15
1003,935,3.69,29.2,33,4/25/2025 16:15
1003,939,4.03,29.2,33,4/25/2025 16:15
1006,944,3.96,29,33,4/25/2025 16:15
1006,939,3.81,29,33,4/25/2025 16:15
1008,942,4.32,29.4,33,4/25/2025 16:15
1011,941,3.26,29.4,33,4/25/2025 16:15
1010,941,4.06,29.9,33,4/25/2025 16:15
1012,952,3.96,29.9,33,4/25/2025 16:15
1012,945,4.2,29.9,33,4/25/2025 16:15
1012,949,4.37,29.9,33,4/25/2025 16:15
1012,948,4.62,29.6,33,4/25/2025 16:15
1011,944,4.33,29.6,33,4/25/2025 16:15
1011,940,4.74,30.1,32,4/25/2025 16:15
1011,942,3.07,30.1,32,4/25/2025 16:15
1011,939,4.45,30.3,32,4/25/2025 16:15
1010,933,3.75,30.3,32,4/25/2025 16:15
1007,927,2.81,30.8,32,4/25/2025 16:15
1006,919,2.69,30.8,32,4/25/2025 16:15
1005,916,4.12,30,32,4/25/2025 16:15
1006,914,3.87,30,32,4/25/2025 16:15
1006,996,1.8,30.4,32,4/25/2025 16:15
1007,1008,1.93,30.4,32,4/25/2025 16:15
1009,1009,2.39,30.2,32,4/25/2025 16:15
1009,1011,3.49,30.2,32,4/25/2025 16:15
1008,1011,4.42,30.8,32,4/25/2025 16:15
1005,1011,3.77,30.8,32,4/25/2025 16:15
964,1007,4.87,30,32,4/25/2025 16:15
966,1007,3.45,30,32,4/25/2025 16:15
971,1009,4.82,30.3,32,4/25/2025 16:15
974,1010,4.73,30.3,32,4/25/2025 16:15
976,1010,3.35,30.3,32,4/25/2025 16:15
979,1010,2.13,30.3,32,4/25/2025 16:15
978,1010,2.25,30.2,32,4/25/2025 16:15
980,1010,4.21,30.2,32,4/25/2025 16:15
980,1010,4.59,30,32,4/25/2025 16:15
976,1010,2.64,30,32,4/25/2025 16:15
969,1008,1.85,30.4,32,4/25/2025 16:16
949,1006,2.86,30.4,32,4/25/2025 16:16
943,1003,1.83,30.2,32,4/25/2025 16:16
939,1001,1.84,30.2,32,4/25/2025 16:16
937,999,3.04,30.3,32,4/25/2025 16:16
932,997,3.55,30.3,32,4/25/2025 16:16
923,995,3.4,30.2,32,4/25/2025 16:16
928,996,4.68,30.2,32,4/25/2025 16:16
926,996,3.7,30.2,32,4/25/2025 16:16
926,996,4.75,30.2,32,4/25/2025 16:16
926,995,3.29,30.8,32,4/25/2025 16:16
932,996,3.12,30.8,32,4/25/2025 16:16
931,997,3.09,29.2,32,4/25/2025 16:16
948,1003,4.7,29.2,32,4/25/2025 16:16
952,1007,2.91,29.6,33,4/25/2025 16:16
945,1006,2.59,29.6,33,4/25/2025 16:16
942,1005,4.41,29.5,33,4/25/2025 16:16
909,1001,4.79,29.5,33,4/25/2025 16:16
853,993,4.85,29.5,32,4/25/2025 16:16
811,985,4.81,29.5,32,4/25/2025 16:16
811,985,4.81,29.7,32,4/25/2025 16:16
819,984,4.57,29.7,32,4/25/2025 16:16
819,984,4.56,29.4,32,4/25/2025 16:16
811,984,4.57,29.4,32,4/25/2025 16:16
812,984,4.47,29,33,4/25/2025 16:16
813,984,4.78,29,33,4/25/2025 16:16
814,984,4.61,29.7,33,4/25/2025 16:16
811,984,4.74,29.7,33,4/25/2025 16:16
813,985,4.57,29,33,4/25/2025 16:16
815,984,4.74,29,33,4/25/2025 16:16
815,984,4.54,29.4,33,4/25/2025 16:16
815,984,4.52,29.4,33,4/25/2025 16:16
814,983,4.55,29,33,4/25/2025 16:16
815,984,4.54,29,33,4/25/2025 16:16
813,984,4.55,29.4,33,4/25/2025 16:16
812,983,4.75,29.4,33,4/25/2025 16:16
823,983,4.7,29.3,33,4/25/2025 16:16
819,983,4.8,29.3,33,4/25/2025 16:16
840,980,4.79,29.4,33,4/25/2025 16:16
829,978,4.78,29.4,33,4/25/2025 16:16
825,977,4.46,29,33,4/25/2025 16:16
831,977,4.63,29,33,4/25/2025 16:16
858,990,4.76,29,33,4/25/2025 16:16
928,1002,4.72,29,33,4/25/2025 16:16
957,1002,3.85,29.1,33,4/25/2025 16:16
958,1000,3.5,29.1,33,4/25/2025 16:16
956,1002,3.55,29.7,33,4/25/2025 16:16
958,1000,3.59,29.7,33,4/25/2025 16:16
956,1002,3.66,29.3,33,4/25/2025 16:16
925,1002,4.9,29.3,33,4/25/2025 16:16
917,1003,4.85,29,33,4/25/2025 16:16
912,1004,4.85,29,33,4/25/2025 16:16
910,1002,4.9,29.5,33,4/25/2025 16:16
909,1002,4.67,29.5,33,4/25/2025 16:16
904,1000,4.78,29.8,33,4/25/2025 16:17
914,1000,4.54,29.8,33,4/25/2025 16:17
954,1009,4.93,29.7,33,4/25/2025 16:17
964,1010,4.94,29.7,33,4/25/2025 16:17
958,1010,4.94,29,33,4/25/2025 16:17
930,1005,4.91,29,33,4/25/2025 16:17
925,1004,4.85,29.2,33,4/25/2025 16:17
920,1003,2.54,29.2,33,4/25/2025 16:17
915,1003,2.57,29.7,33,4/25/2025 16:17
966,1002,4.7,29.7,33,4/25/2025 16:17
935,1001,4.89,29.2,33,4/25/2025 16:17
911,1000,4.55,29.2,33,4/25/2025 16:17
874,999,4.89,29.2,33,4/25/2025 16:17
880,1000,4.89,29.2,33,4/25/2025 16:17
850,995,4.87,29.4,33,4/25/2025 16:17
821,991,4.84,29.4,33,4/25/2025 16:17
795,985,4.81,29.7,33,4/25/2025 16:17
827,990,4.86,29.7,33,4/25/2025 16:17
850,992,2.93,29.8,33,4/25/2025 16:17
863,995,4.11,29.8,33,4/25/2025 16:17
849,994,2.49,29.1,33,4/25/2025 16:17
854,997,4.77,29.1,33,4/25/2025 16:17
908,995,1.84,29.4,33,4/25/2025 16:17
853,994,1.92,29.4,33,4/25/2025 16:17
829,994,2.33,29.6,33,4/25/2025 16:17
850,995,3.99,29.6,33,4/25/2025 16:17
845,995,1.87,29.8,33,4/25/2025 16:17
854,997,3.05,29.8,33,4/25/2025 16:17
860,997,4.1,29.7,33,4/25/2025 16:17
856,997,4.74,29.7,33,4/25/2025 16:17
864,997,2.95,29.2,33,4/25/2025 16:17
865,998,2.4,29.2,33,4/25/2025 16:17
890,1002,3.18,29.1,33,4/25/2025 16:17
896,1002,4.73,29.1,33,4/25/2025 16:17
877,1000,4.93,29.4,33,4/25/2025 16:17
864,994,4.77,29.4,33,4/25/2025 16:17
883,997,4.88,29,33,4/25/2025 16:17
913,1003,4.33,29,33,4/25/2025 16:17
933,1007,1.97,29.1,33,4/25/2025 16:17
936,1008,1.96,29.1,33,4/25/2025 16:17
950,1010,1.93,29.4,33,4/25/2025 16:17
967,1012,4.64,29.4,33,4/25/2025 16:17
970,1013,2.17,29.7,33,4/25/2025 16:17
972,1013,4.53,29.7,33,4/25/2025 16:17
971,1013,4.68,29.5,33,4/25/2025 16:17
972,1013,4.89,29.5,33,4/25/2025 16:17
970,1012,3.72,29.2,34,4/25/2025 16:18
962,1011,3.79,29.2,34,4/25/2025 16:18
946,1010,4.93,29.2,34,4/25/2025 16:18
877,999,1.89,29.2,34,4/25/2025 16:18
867,994,5,29.8,34,4/25/2025 16:18
863,993,5,29.8,34,4/25/2025 16:18
867,999,4.08,29.3,34,4/25/2025 16:18
873,1002,4.72,29.3,34,4/25/2025 16:18
869,1002,3.4,29.5,34,4/25/2025 16:18
872,1004,3.9,29.5,34,4/25/2025 16:18
873,999,4.73,29.1,34,4/25/2025 16:18
899,1002,4.87,29.1,34,4/25/2025 16:18
873,999,4.73,29.9,34,4/25/2025 16:18
794,987,4.84,29.9,34,4/25/2025 16:18
839,1003,4.09,29.7,34,4/25/2025 16:18
944,1009,2.61,29.7,34,4/25/2025 16:18
934,997,3.56,29.5,34,4/25/2025 16:18
853,990,2.04,29.5,34,4/25/2025 16:18
819,977,1.86,29.2,34,4/25/2025 16:18
614,951,1.69,29.2,34,4/25/2025 16:18
362,875,4.13,29.3,34,4/25/2025 16:18
342,838,4.52,29.3,34,4/25/2025 16:18
342,847,3.6,29,34,4/25/2025 16:18
312,848,1.78,29,34,4/25/2025 16:18
349,845,3.56,29.3,33,4/25/2025 16:18
391,847,4.07,29.3,33,4/25/2025 16:18
389,851,4.29,29.7,33,4/25/2025 16:18
366,858,4.35,29.7,33,4/25/2025 16:18
371,862,3.21,29.3,33,4/25/2025 16:18
396,863,3.81,29.3,33,4/25/2025 16:18
394,864,4.48,29.3,34,4/25/2025 16:18
378,868,2.45,29.3,34,4/25/2025 16:18
867,382,1.07,29.7,33,4/25/2025 16:18
863,280,1.72,29.7,33,4/25/2025 16:18
855,263,1.57,29.5,34,4/25/2025 16:18
